,vertices,delta,runtime,deltafactor
506,10000,2292,3,600
507,10000,2395,3,600
508,10000,4451,3,600
509,10000,734,4,600
510,10000,1416,3,610
511,10000,1118,3,610
512,10000,5547,2,610
513,10000,4861,3,610
514,10000,2368,3,610
515,10000,2243,2,610
516,10000,2292,3,610
517,10000,2395,3,610
518,10000,4451,2,610
519,10000,734,4,610
520,10000,1416,3,620
521,10000,1118,4,620
522,10000,5547,2,620
523,10000,4861,2,620
524,10000,2368,3,620
525,10000,2243,3,620
526,10000,2292,3,620
527,10000,2395,3,620
528,10000,4451,2,620
529,10000,734,3,620
530,10000,1416,4,630
531,10000,1118,4,630
532,10000,5547,3,630
533,10000,4861,3,630
534,10000,2368,3,630
535,10000,2243,3,630
536,10000,2292,3,630
537,10000,2395,2,630
538,10000,4451,2,630
539,10000,734,3,630
540,10000,1416,3,640
541,10000,1118,3,640
542,10000,5547,2,640
543,10000,4861,2,640
544,10000,2368,2,640
545,10000,2243,3,640
546,10000,2292,3,640
547,10000,2395,3,640
548,10000,4451,2,640
549,10000,734,4,640
550,10000,1416,3,650
551,10000,1118,4,650
552,10000,5547,2,650
553,10000,4861,3,650
554,10000,2368,3,650
555,10000,2243,3,650
556,10000,2292,3,650
557,10000,2395,3,650
558,10000,4451,2,650
559,10000,734,4,650
560,10000,1416,3,660
561,10000,1118,4,660
562,10000,5547,2,660
563,10000,4861,2,660
564,10000,2368,2,660
565,10000,2243,3,660
566,10000,2292,3,660
567,10000,2395,3,660
568,10000,4451,2,660
569,10000,734,4,660
570,10000,1416,3,670
571,10000,1118,4,670
572,10000,5547,3,670
573,10000,4861,2,670
574,10000,2368,3,670
575,10000,2243,3,670
576,10000,2292,3,670
577,10000,2395,3,670
578,10000,4451,2,670
579,10000,734,3,670
580,10000,1416,3,680
581,10000,1118,3,680
582,10000,5547,2,680
583,10000,4861,3,680
584,10000,2368,3,680
585,10000,2243,3,680
586,10000,2292,3,680
587,10000,2395,3,680
588,10000,4451,3,680
589,10000,734,4,680
590,10000,1416,3,690
591,10000,1118,3,690
592,10000,5547,3,690
593,10000,4861,2,690
594,10000,2368,3,690
595,10000,2243,3,690
596,10000,2292,3,690
597,10000,2395,3,690
598,10000,4451,2,690
599,10000,734,5,690
600,10000,1416,5,700
601,10000,1118,4,700
602,10000,5547,2,700
603,10000,4861,3,700
604,10000,2368,3,700
605,10000,2243,3,700
606,10000,2292,3,700
607,10000,2395,3,700
608,10000,4451,3,700
609,10000,734,4,700
610,10000,1416,3,710
611,10000,1118,3,710
612,10000,5547,2,710
613,10000,4861,3,710
614,10000,2368,3,710
615,10000,2243,3,710
616,10000,2292,3,710
617,10000,2395,3,710
618,10000,4451,2,710
619,10000,734,3,710
620,10000,1416,3,720
621,10000,1118,4,720
622,10000,5547,2,720
623,10000,4861,2,720
624,10000,2368,3,720
625,10000,2243,3,720
626,10000,2292,3,720
627,10000,2395,3,720
628,10000,4451,2,720
629,10000,734,3,720
630,10000,1416,3,730
631,10000,1118,3,730
632,10000,5547,2,730
633,10000,4861,3,730
634,10000,2368,3,730
635,10000,2243,3,730
636,10000,2292,3,730
637,10000,2395,3,730
638,10000,4451,3,730
639,10000,734,4,730
640,10000,1416,3,740
641,10000,1118,4,740
642,10000,5547,3,740
643,10000,4861,2,740
644,10000,2368,2,740
645,10000,2243,3,740
646,10000,2292,3,740
647,10000,2395,3,740
648,10000,4451,2,740
649,10000,734,4,740
650,10000,1416,4,750
651,10000,1118,4,750
652,10000,5547,2,750
653,10000,4861,3,750
654,10000,2368,3,750
655,10000,2243,3,750
656,10000,2292,3,750
657,10000,2395,3,750
658,10000,4451,2,750
659,10000,734,4,750
660,10000,1416,3,760
661,10000,1118,3,760
662,10000,5547,2,760
663,10000,4861,3,760
664,10000,2368,3,760
665,10000,2243,3,760
666,10000,2292,3,760
667,10000,2395,3,760
668,10000,4451,3,760
669,10000,734,4,760
670,10000,1416,3,770
671,10000,1118,4,770
672,10000,5547,2,770
673,10000,4861,2,770
674,10000,2368,2,770
675,10000,2243,3,770
676,10000,2292,3,770
677,10000,2395,3,770
678,10000,4451,2,770
679,10000,734,4,770
680,10000,1416,3,780
681,10000,1118,3,780
682,10000,5547,2,780
683,10000,4861,3,780
684,10000,2368,3,780
685,10000,2243,3,780
686,10000,2292,3,780
687,10000,2395,3,780
688,10000,4451,3,780
689,10000,734,4,780
690,10000,1416,4,790
691,10000,1118,3,790
692,10000,5547,2,790
693,10000,4861,2,790
694,10000,2368,3,790
695,10000,2243,3,790
696,10000,2292,3,790
697,10000,2395,3,790
698,10000,4451,3,790
699,10000,734,4,790
700,10000,1416,3,800
701,10000,1118,4,800
702,10000,5547,2,800
703,10000,4861,2,800
704,10000,2368,3,800
705,10000,2243,3,800
706,10000,2292,3,800
707,10000,2395,3,800
708,10000,4451,3,800
709,10000,734,3,800
710,10000,1416,3,810
711,10000,1118,3,810
712,10000,5547,2,810
713,10000,4861,2,810
714,10000,2368,3,810
715,10000,2243,3,810
716,10000,2292,3,810
717,10000,2395,3,810
718,10000,4451,2,810
719,10000,734,4,810
720,10000,1416,3,820
721,10000,1118,4,820
722,10000,5547,2,820
723,10000,4861,3,820
724,10000,2368,3,820
725,10000,2243,3,820
726,10000,2292,3,820
727,10000,2395,3,820
728,10000,4451,3,820
729,10000,734,4,820
730,10000,1416,3,830
731,10000,1118,3,830
732,10000,5547,2,830
733,10000,4861,2,830
734,10000,2368,3,830
735,10000,2243,3,830
736,10000,2292,3,830
737,10000,2395,3,830
738,10000,4451,3,830
739,10000,734,4,830
740,10000,1416,3,840
741,10000,1118,4,840
742,10000,5547,2,840
743,10000,4861,3,840
744,10000,2368,3,840
745,10000,2243,3,840
746,10000,2292,3,840
747,10000,2395,3,840
748,10000,4451,3,840
749,10000,734,3,840
750,10000,1416,3,850
751,10000,1118,4,850
752,10000,5547,2,850
753,10000,4861,3,850
754,10000,2368,3,850
755,10000,2243,3,850
756,10000,2292,3,850
757,10000,2395,3,850
758,10000,4451,3,850
759,10000,734,4,850
760,10000,1416,3,860
761,10000,1118,4,860
762,10000,5547,3,860
763,10000,4861,2,860
764,10000,2368,3,860
765,10000,2243,3,860
766,10000,2292,3,860
767,10000,2395,3,860
768,10000,4451,3,860
769,10000,734,4,860
770,10000,1416,3,870
771,10000,1118,4,870
772,10000,5547,2,870
773,10000,4861,2,870
774,10000,2368,3,870
775,10000,2243,3,870
776,10000,2292,3,870
777,10000,2395,3,870
778,10000,4451,3,870
779,10000,734,4,870
780,10000,1416,3,880
781,10000,1118,3,880
782,10000,5547,3,880
783,10000,4861,2,880
784,10000,2368,3,880
785,10000,2243,3,880
786,10000,2292,4,880
787,10000,2395,3,880
788,10000,4451,3,880
789,10000,734,4,880
790,10000,1416,3,890
791,10000,1118,3,890
792,10000,5547,2,890
793,10000,4861,2,890
794,10000,2368,3,890
795,10000,2243,4,890
796,10000,2292,3,890
797,10000,2395,3,890
798,10000,4451,3,890
799,10000,734,4,890
800,10000,1416,4,900
801,10000,1118,4,900
802,10000,5547,2,900
803,10000,4861,2,900
804,10000,2368,3,900
805,10000,2243,3,900
806,10000,2292,3,900
807,10000,2395,3,900
808,10000,4451,3,900
809,10000,734,4,900
810,10000,1416,4,910
811,10000,1118,4,910
812,10000,5547,3,910
813,10000,4861,2,910
814,10000,2368,3,910
815,10000,2243,3,910
816,10000,2292,4,910
817,10000,2395,3,910
818,10000,4451,3,910
819,10000,734,4,910
820,10000,1416,3,920
821,10000,1118,4,920
822,10000,5547,2,920
823,10000,4861,3,920
824,10000,2368,3,920
825,10000,2243,3,920
826,10000,2292,3,920
827,10000,2395,3,920
828,10000,4451,3,920
829,10000,734,4,920
830,10000,1416,4,930
831,10000,1118,4,930
832,10000,5547,2,930
833,10000,4861,3,930
834,10000,2368,3,930
835,10000,2243,3,930
836,10000,2292,3,930
837,10000,2395,3,930
838,10000,4451,3,930
839,10000,734,4,930
840,10000,1416,3,940
841,10000,1118,4,940
842,10000,5547,3,940
843,10000,4861,2,940
844,10000,2368,3,940
845,10000,2243,3,940
846,10000,2292,3,940
847,10000,2395,3,940
848,10000,4451,3,940
849,10000,734,5,940
850,10000,1416,3,950
851,10000,1118,3,950
852,10000,5547,2,950
853,10000,4861,3,950
854,10000,2368,3,950
855,10000,2243,3,950
856,10000,2292,3,950
857,10000,2395,3,950
858,10000,4451,3,950
859,10000,734,4,950
860,10000,1416,3,960
861,10000,1118,4,960
862,10000,5547,2,960
863,10000,4861,2,960
864,10000,2368,3,960
865,10000,2243,3,960
866,10000,2292,3,960
867,10000,2395,3,960
868,10000,4451,3,960
869,10000,734,4,960
870,10000,1416,4,970
871,10000,1118,4,970
872,10000,5547,3,970
873,10000,4861,3,970
874,10000,2368,3,970
875,10000,2243,3,970
876,10000,2292,3,970
877,10000,2395,3,970
878,10000,4451,3,970
879,10000,734,4,970
880,10000,1416,3,980
881,10000,1118,4,980
882,10000,5547,2,980
883,10000,4861,2,980
884,10000,2368,3,980
885,10000,2243,3,980
886,10000,2292,3,980
887,10000,2395,3,980
888,10000,4451,3,980
889,10000,734,4,980
890,10000,1416,3,990
891,10000,1118,4,990
892,10000,5547,3,990
893,10000,4861,3,990
894,10000,2368,3,990
895,10000,2243,3,990
896,10000,2292,3,990
897,10000,2395,3,990
898,10000,4451,2,990
899,10000,1416,3,1000
900,10000,1118,4,1000
901,10000,5547,3,1000
902,10000,4861,3,1000
903,10000,2368,3,1000
904,10000,2243,3,1000
905,10000,2292,3,1000
906,10000,2395,3,1000
907,10000,4451,2,1000
908,10000,734,4,1000
909,10000,1416,3,1010
910,10000,1118,4,1010
911,10000,5547,2,1010
912,10000,4861,2,1010
913,10000,2368,3,1010
914,10000,2243,3,1010
915,10000,2292,3,1010
916,10000,2395,3,1010
917,10000,4451,3,1010
918,10000,734,4,1010
919,10000,1416,3,1020
920,10000,1118,3,1020
921,10000,5547,2,1020
922,10000,4861,3,1020
923,10000,2368,3,1020
924,10000,2243,3,1020
925,10000,2292,3,1020
926,10000,2395,3,1020
927,10000,4451,3,1020
928,10000,734,4,1020
929,10000,1416,3,1030
930,10000,1118,4,1030
931,10000,5547,3,1030
932,10000,4861,3,1030
933,10000,2368,3,1030
934,10000,2243,3,1030
935,10000,2292,3,1030
936,10000,2395,3,1030
937,10000,4451,2,1030
938,10000,734,4,1030
939,10000,1416,4,1040
940,10000,1118,4,1040
