,vertices,delta,runtime,deltafactor,seed,attempt
402,10000,0,0,1600,28,35
403,1000,0,0,1600,2,75
404,10000,0,0,1600,28,36
405,1000000,12357,3,1600,20,0
406,1000,0,0,1600,2,76
407,10000,0,0,1600,28,37
408,1000,0,0,1600,2,77
409,10000,0,0,1600,28,38
410,1000,0,0,1600,2,78
411,10000,0,0,1600,28,39
412,1000000,12283,3,1600,21,0
413,1000,0,0,1600,2,79
414,10000,0,0,1600,28,40
415,1000,0,0,1600,2,80
416,10000,0,0,1600,28,41
417,1000,0,0,1600,2,81
418,10000,0,0,1600,28,42
419,1000,0,0,1600,2,82
420,10000,0,0,1600,28,43
421,1000000,12241,4,1600,22,0
422,1000,0,0,1600,2,83
423,10000,0,0,1600,28,44
424,1000,0,0,1600,2,84
425,10000,0,0,1600,28,45
426,1000,0,0,1600,2,85
427,10000,0,0,1600,28,46
428,1000000,12290,3,1600,23,0
429,1000,0,0,1600,2,86
430,10000,0,0,1600,28,47
431,1000,0,0,1600,2,87
432,10000,0,0,1600,28,48
433,1000,0,0,1600,2,88
434,10000,0,0,1600,28,49
435,1000,0,0,1600,2,89
436,1000000,12289,4,1600,24,0
437,10000,0,0,1600,28,50
438,1000,0,0,1600,2,90
439,10000,0,0,1600,28,51
440,1000,0,0,1600,2,91
441,10000,0,0,1600,28,52
442,1000,0,0,1600,2,92
443,1000000,12330,3,1600,25,0
444,10000,0,0,1600,28,53
445,1000,0,0,1600,2,93
446,10000,0,0,1600,28,54
447,1000,0,0,1600,2,94
448,10000,0,0,1600,28,55
449,1000,0,0,1600,2,95
450,1000000,12346,3,1600,26,0
451,10000,0,0,1600,28,56
452,1000,0,0,1600,2,96
453,10000,0,0,1600,28,57
454,1000,0,0,1600,2,97
455,10000,0,0,1600,28,58
456,1000,0,0,1600,2,98
457,1000000,12294,3,1600,27,0
458,10000,0,0,1600,28,59
459,1000,0,0,1600,2,99
460,10000,0,0,1600,28,60
461,1000,0,0,1600,3,0
462,10000,0,0,1600,28,61
463,1000,0,0,1600,3,1
464,10000,0,0,1600,28,62
465,1000,0,0,1600,3,2
466,1000000,12324,4,1600,28,0
467,10000,0,0,1600,28,63
468,1000,0,0,1600,3,3
469,10000,0,0,1600,28,64
470,1000,0,0,1600,3,4
471,10000,0,0,1600,28,65
472,1000,0,0,1600,3,5
473,10000,0,0,1600,28,66
474,1000,0,0,1600,3,6
475,1000000,12325,4,1600,29,0
476,10000,0,0,1600,28,67
477,1000,0,0,1600,3,7
478,10000,0,0,1600,28,68
479,1000,0,0,1600,3,8
480,10000,0,0,1600,28,69
481,1000,0,0,1600,3,9
482,1000000,12334,3,1600,30,0
483,10000,0,0,1600,28,70
484,1000,0,0,1600,3,10
485,10000,0,0,1600,28,71
486,1000,0,0,1600,3,11
487,10000,0,0,1600,28,72
488,1000,0,0,1600,3,12
489,1000000,19058,3,1600,31,0
490,10000,0,0,1600,28,73
491,1000,0,0,1600,3,13
492,10000,0,0,1600,28,74
493,1000,0,0,1600,3,14
494,10000,0,0,1600,28,75
495,1000,0,0,1600,3,15
496,1000000,19128,3,1600,32,0
497,10000,0,0,1600,28,76
498,1000,0,0,1600,3,16
499,10000,0,0,1600,28,77
500,1000,0,0,1600,3,17
501,10000,0,0,1600,28,78
502,1000,0,0,1600,3,18
503,1000000,19134,3,1600,33,0
504,10000,0,0,1600,28,79
505,1000,0,0,1600,3,19
506,10000,0,0,1600,28,80
507,1000,0,0,1600,3,20
508,10000,0,0,1600,28,81
509,1000,0,0,1600,3,21
510,1000000,19204,3,1600,34,0
511,10000,0,0,1600,28,82
512,1000,0,0,1600,3,22
513,10000,0,0,1600,28,83
514,1000,0,0,1600,3,23
515,10000,0,0,1600,28,84
516,1000,0,0,1600,3,24
517,1000000,19284,3,1600,35,0
518,10000,0,0,1600,28,85
