,vertices,delta,runtime
908,1101,20,4
909,1101,22,4
910,1201,20,5
911,1201,20,5
912,1201,23,4
913,1201,19,4
914,1201,21,6
915,1301,19,5
916,1301,18,4
917,1301,22,4
918,1301,20,5
919,1301,21,5
920,1401,19,4
921,1401,19,5
922,1401,21,4
923,1401,19,5
924,1401,21,4
925,1501,21,4
926,1501,18,5
927,1501,23,5
928,1501,20,4
929,1501,21,5
930,1601,20,5
931,1601,18,5
932,1601,23,4
933,1601,20,5
934,1601,23,4
935,1701,20,5
936,1701,19,5
937,1701,22,4
938,1701,20,5
939,1701,25,4
940,1801,19,6
941,1801,20,5
942,1801,23,6
943,1801,22,4
944,1801,24,5
945,1901,19,5
946,1901,23,4
947,1901,22,6
948,1901,21,4
949,1901,23,6
950,2001,20,4
951,2001,22,4
952,2001,22,5
953,2001,21,4
954,2001,23,4
955,2101,20,5
956,2101,22,5
957,2101,25,4
958,2101,24,5
959,2101,23,5
960,2201,21,5
961,2201,21,6
962,2201,25,5
963,2201,23,5
964,2201,25,5
965,2301,21,4
966,2301,23,5
967,2301,24,4
968,2301,23,4
969,2301,24,4
970,2401,21,5
971,2401,23,5
972,2401,25,4
973,2401,23,5
974,2401,23,4
975,2501,20,5
976,2501,22,5
977,2501,26,4
978,2501,23,5
979,2501,23,5
980,2601,21,6
981,2601,22,5
982,2601,27,4
983,2601,23,4
984,2601,23,4
985,2701,21,5
986,2701,22,4
987,2701,27,4
988,2701,24,6
989,2701,23,5
990,2801,22,5
991,2801,25,4
992,2801,26,4
993,2801,23,5
994,2801,24,5
995,2901,22,4
996,2901,24,6
997,2901,25,5
998,2901,22,5
999,2901,26,5
1000,3001,22,4
1001,3001,24,5
1002,3001,26,5
1003,3001,22,5
1004,3001,27,4
1005,3101,21,5
1006,3101,22,4
1007,3101,26,4
1008,3101,24,4
1009,3101,26,4
1010,3201,20,5
1011,3201,21,5
1012,3201,26,4
1013,3201,25,5
1014,3201,24,6
1015,3301,20,5
1016,3301,22,5
1017,3301,26,4
1018,3301,24,6
1019,3301,25,4
1020,3401,21,5
1021,3401,23,4
1022,3401,25,6
1023,3401,24,4
1024,3401,24,5
1025,3501,21,5
1026,3501,23,4
1027,3501,25,4
1028,3501,24,5
1029,3501,24,5
1030,3601,21,5
1031,3601,22,4
1032,3601,24,5
1033,3601,23,5
1034,3601,24,4
1035,3701,21,5
1036,3701,22,4
1037,3701,24,5
1038,3701,23,5
1039,3701,23,5
1040,3801,21,4
1041,3801,22,5
1042,3801,22,5
1043,3801,23,5
1044,3801,22,5
1045,3901,22,4
1046,3901,22,5
1047,3901,22,5
1048,3901,23,5
1049,3901,22,6
1050,4001,22,5
1051,4001,23,4
1052,4001,22,4
1053,4001,22,4
1054,4001,22,5
1055,4101,22,5
1056,4101,24,5
1057,4101,22,5
1058,4101,22,5
1059,4101,22,5
1060,4201,23,4
1061,4201,23,5
1062,4201,22,5
1063,4201,22,5
1064,4201,22,5
1065,4301,23,5
1066,4301,23,4
1067,4301,22,5
1068,4301,23,5
1069,4301,22,5
1070,4401,23,4
1071,4401,23,4
1072,4401,23,6
1073,4401,24,5
1074,4401,21,5
1075,4501,23,5
1076,4501,23,4
1077,4501,23,4
1078,4501,23,5
1079,4501,22,5
1080,4601,23,5
1081,4601,23,5
1082,4601,23,5
1083,4601,23,5
1084,4601,23,6
1085,4701,23,5
1086,4701,23,5
1087,4701,23,5
1088,4701,23,5
1089,4701,22,5
1090,4801,23,5
1091,4801,23,5
1092,4801,23,4
1093,4801,24,5
1094,4801,23,4
1095,4901,23,5
1096,4901,22,6
1097,4901,23,5
1098,4901,24,5
1099,4901,22,5
1100,5001,23,5
1101,5001,23,5
1102,5001,22,5
1103,5001,24,5
1104,5001,21,5
1105,5101,22,5
1106,5101,22,4
1107,5101,22,5
1108,5101,24,5
1109,5101,21,5
1110,5201,22,5
1111,5201,22,6
1112,5201,21,5
1113,5201,23,5
1114,5201,21,5
1115,5301,22,6
1116,5301,22,5
1117,5301,22,5
1118,5301,23,5
1119,5301,21,5
1120,5401,22,5
1121,5401,23,5
1122,5401,22,6
1123,5401,23,5
1124,5401,21,5
1125,5501,22,5
1126,5501,24,4
1127,5501,21,6
1128,5501,23,5
1129,5501,22,5
1130,5601,22,6
1131,5601,24,5
1132,5601,21,5
1133,5601,23,5
1134,5601,22,6
1135,5701,22,6
1136,5701,23,4
1137,5701,21,6
1138,5701,23,5
1139,5701,23,6
1140,5801,22,6
1141,5801,23,6
1142,5801,22,6
1143,5801,24,5
1144,5801,23,4
1145,5901,22,5
1146,5901,22,5
1147,5901,22,4
1148,5901,23,5
1149,5901,24,6
1150,6001,22,4
1151,6001,22,5
1152,6001,22,5
1153,6001,23,6
1154,6001,24,5
1155,6101,23,5
1156,6101,22,5
1157,6101,22,5
1158,6101,23,4
1159,6101,24,5
1160,6201,23,5
1161,6201,22,5
1162,6201,22,5
1163,6201,23,5
1164,6201,23,5
1165,6301,25,5
1166,6301,23,5
1167,6301,22,5
1168,6301,22,6
1169,6301,23,5
1170,6401,26,6
1171,6401,23,5
1172,6401,22,4
1173,6401,22,5
1174,6401,23,5
1175,6501,26,5
1176,6501,23,5
1177,6501,23,5
1178,6501,23,5
1179,6501,23,5
1180,6601,26,4
1181,6601,23,6
1182,6601,22,5
1183,6601,23,4
1184,6601,23,4
1185,6701,26,5
1186,6701,23,5
1187,6701,23,5
1188,6701,23,6
1189,6701,22,6
1190,6801,26,5
1191,6801,24,5
1192,6801,23,5
1193,6801,23,5
1194,6801,23,5
1195,6901,26,5
1196,6901,24,5
1197,6901,24,5
1198,6901,23,5
1199,6901,23,5
1200,7001,24,5
1201,7001,24,5
1202,7001,24,5
1203,7001,24,5
1204,7001,23,5
1205,7101,24,4
1206,7101,24,5
1207,7101,23,5
1208,7101,24,4
1209,7101,23,5
1210,7201,24,5
1211,7201,24,5
1212,7201,23,5
1213,7201,25,6
1214,7201,22,5
1215,7301,24,5
1216,7301,23,5
1217,7301,23,5
1218,7301,25,5
1219,7301,22,6
1220,7401,24,4
1221,7401,24,5
1222,7401,23,5
1223,7401,24,5
1224,7401,22,5
1225,7501,24,6
1226,7501,24,5
1227,7501,23,5
1228,7501,24,5
1229,7501,22,5
1230,7601,24,6
1231,7601,24,5
1232,7601,23,5
1233,7601,23,5
1234,7601,24,5
1235,7701,24,5
1236,7701,23,5
1237,7701,24,5
1238,7701,24,6
1239,7701,24,5
1240,7801,24,5
1241,7801,23,4
1242,7801,24,5
1243,7801,24,6
1244,7801,24,5
1245,7901,24,5
1246,7901,23,5
1247,7901,23,5
1248,7901,24,5
1249,7901,24,5
1250,8001,23,5
1251,8001,23,5
1252,8001,22,5
1253,8001,24,5
1254,8001,24,4
1255,8101,24,5
1256,8101,23,5
1257,8101,22,6
1258,8101,25,5
1259,8101,24,5
1260,8201,25,4
1261,8201,23,5
1262,8201,22,5
1263,8201,25,5
1264,8201,24,5
1265,8301,24,5
1266,8301,23,5
1267,8301,23,5
1268,8301,25,5
1269,8301,24,5
1270,8401,24,5
1271,8401,23,5
1272,8401,23,5
1273,8401,25,5
1274,8401,24,5
1275,8501,24,5
1276,8501,24,5
1277,8501,23,5
1278,8501,25,4
1279,8501,23,5
1280,8601,24,5
1281,8601,24,4
1282,8601,23,5
1283,8601,25,4
1284,8601,23,5
1285,8701,24,5
1286,8701,23,5
1287,8701,22,5
1288,8701,25,5
1289,8701,23,5
1290,8801,24,4
1291,8801,23,6
1292,8801,22,5
1293,8801,25,5
1294,8801,23,5
1295,8901,24,6
1296,8901,23,5
1297,8901,22,5
1298,8901,25,4
1299,8901,23,5
1300,9001,24,5
1301,9001,23,5
1302,9001,23,6
1303,9001,24,5
1304,9001,23,6
1305,9101,24,5
1306,9101,22,5
1307,9101,23,6
1308,9101,24,6
1309,9101,23,5
1310,9201,23,5
1311,9201,22,5
1312,9201,24,5
1313,9201,24,5
1314,9201,23,5
1315,9301,23,5
1316,9301,22,5
1317,9301,24,5
1318,9301,24,5
1319,9301,23,4
1320,9401,23,5
1321,9401,22,7
1322,9401,25,5
1323,9401,25,6
1324,9401,23,5
1325,9501,22,5
1326,9501,22,5
1327,9501,25,5
1328,9501,25,4
1329,9501,23,5
1330,9601,22,5
1331,9601,22,5
1332,9601,25,5
1333,9601,24,5
1334,9601,24,5
1335,9701,24,5
1336,9701,23,5
1337,9701,25,5
1338,9701,24,5
1339,9701,24,4
1340,9801,25,5
1341,9801,23,5
1342,9801,23,5
1343,9801,24,5
1344,9801,25,5
1345,9901,25,4
1346,9901,23,5
1347,9901,24,5
1348,9901,24,6
1349,9901,25,5
